Wavelength (nm),Sample Signal (unitless)
901.663021,23658.000000
905.592173,26046.000000
909.516909,28351.000000
913.437229,30626.000000
917.353134,33787.000000
921.264622,37423.000000
925.171696,41466.000000
929.074353,46060.000000
932.972595,50868.000000
938.163382,57044.000000
942.051321,61645.000000
945.934844,65982.000000
949.813951,70095.000000
953.688643,74302.000000
957.558919,78048.000000
961.424779,81761.000000
965.286223,84420.000000
969.143252,86677.000000
972.995866,88741.000000
978.125814,90581.000000
981.968124,91584.000000
985.806019,92381.000000
989.639497,92895.000000
993.468560,92932.000000
997.293207,92710.000000
1001.113439,92566.000000
1004.929255,92052.000000
1008.740655,92033.000000
1012.547640,91817.000000
1016.350208,92184.000000
1021.413431,92159.000000
1025.205697,92526.000000
1028.993547,92967.000000
1032.776981,93223.000000
1036.556000,94057.000000
1040.330603,95038.000000
1044.100790,95793.000000
1047.866561,96737.000000
1051.627917,97257.000000
1055.384857,98187.000000
1060.387242,99254.000000
1064.133879,100011.000000
1067.876100,100522.000000
1071.613906,101149.000000
1075.347296,101751.000000
1079.076270,102423.000000
1082.800829,102995.000000
1086.520972,103613.000000
1090.236699,103991.000000
1093.948010,104392.000000
1097.654906,104918.000000
1102.590565,105286.000000
1106.287158,105716.000000
1109.979334,106121.000000
1113.667096,106116.000000
1117.350441,106143.000000
1121.029371,106229.000000
1124.703885,106056.000000
1128.373984,105875.000000
1132.039667,105593.000000
1135.700934,105050.000000
1140.575755,104006.000000
1144.226718,103195.000000
1147.873267,102349.000000
1151.515399,101413.000000
1155.153116,100416.000000
1158.786417,99345.000000
1162.415303,98268.000000
1166.039773,97723.000000
1169.659827,97201.000000
1173.275465,96698.000000
1176.886688,96372.000000
1181.694783,96202.000000
1185.295703,96344.000000
1188.892206,96513.000000
1192.484295,97040.000000
1196.071967,97722.000000
1199.655224,98906.000000
1203.234065,99790.000000
1206.808491,101170.000000
1210.378500,102972.000000
1213.944094,104670.000000
1218.691351,107369.000000
1222.246642,109576.000000
1225.797517,112119.000000
1229.343977,114464.000000
1232.886021,116657.000000
1236.423649,118797.000000
1239.956861,120737.000000
1243.485658,122642.000000
1247.010039,124145.000000
1250.530005,125459.000000
1254.045554,126806.000000
1258.726085,128479.000000
1262.231332,129881.000000
1265.732163,131331.000000
1269.228578,132845.000000
1272.720577,134200.000000
1276.208161,135535.000000
1279.691329,136909.000000
1283.170082,138072.000000
1286.644418,139215.000000
1290.114340,140182.000000
1294.734032,141628.000000
1298.193650,142351.000000
1301.648852,142959.000000
1305.099639,143374.000000
1308.546010,143528.000000
1311.987965,143194.000000
1315.425504,142937.000000
1318.858628,142193.000000
1322.287336,140977.000000
1325.711628,139667.000000
1329.131505,138165.000000
1333.684472,135432.000000
1337.094045,133437.000000
1340.499203,130895.000000
1343.899945,128022.000000
1347.296272,124839.000000
1350.688183,121761.000000
1354.075678,118431.000000
1357.458757,115090.000000
1360.837421,112411.000000
1364.211669,110294.000000
1367.581501,108480.000000
1372.067742,106042.000000
1375.427272,103994.000000
1378.782385,101493.000000
1382.133083,98553.000000
1385.479365,95375.000000
1388.821231,92074.000000
1392.158682,88695.000000
1395.491717,85295.000000
1398.820337,81307.000000
1402.144540,77386.000000
1406.569943,71619.000000
1409.883843,66997.000000
1413.193328,62400.000000
1416.498397,58122.000000
1419.799051,54199.000000
1423.095289,50984.000000
1426.387111,47867.000000
1429.674517,45390.000000
1432.957508,43417.000000
1436.236083,41546.000000
1439.510242,40395.000000
1443.868919,38964.000000
1447.132775,38035.000000
1450.392216,37342.000000
1453.647240,36714.000000
1456.897849,36146.000000
1460.144043,35380.000000
1463.385821,35047.000000
1466.623183,34663.000000
1469.856129,34092.000000
1473.084660,33693.000000
1477.382498,33120.000000
1480.600726,33141.000000
1483.814538,32900.000000
1487.023934,32838.000000
1490.228914,32758.000000
1493.429479,32769.000000
1496.625628,32853.000000
1499.817361,32763.000000
1503.004679,32996.000000
1506.187581,32924.000000
1509.366067,32843.000000
1513.597180,32775.000000
1516.765363,32518.000000
1519.929131,32659.000000
1523.088482,32538.000000
1526.243418,32366.000000
1529.393939,32498.000000
1532.540044,32232.000000
1535.681733,32059.000000
1538.819006,31682.000000
1541.951864,31441.000000
1546.122138,30985.000000
1549.244693,30555.000000
1552.362831,30111.000000
1555.476554,29755.000000
1558.585862,29121.000000
1561.690753,28798.000000
1564.791230,28121.000000
1567.887290,27678.000000
1570.978935,27165.000000
1574.066163,26760.000000
1577.148977,26395.000000
1581.252526,26061.000000
1584.325036,25751.000000
1587.393130,25728.000000
1590.456809,25422.000000
1593.516072,25302.000000
1596.570919,25131.000000
1599.621351,24865.000000
1602.667367,24764.000000
1605.708967,24475.000000
1608.746152,24314.000000
1612.788862,23990.000000
1615.815744,23833.000000
1618.838209,23574.000000
1621.856260,23193.000000
1624.869894,22879.000000
1627.879113,22770.000000
1630.883915,22358.000000
1633.884303,22199.000000
1636.880274,21779.000000
1639.871830,21636.000000
1642.858971,21328.000000
1646.834956,20756.000000
1649.811793,20705.000000
1652.784214,20027.000000
1655.752220,19486.000000
1658.715810,19141.000000
1661.674984,18698.000000
1664.629742,18106.000000
1667.580085,17414.000000
1670.526013,16565.000000
1673.467524,15617.000000
1677.382671,13975.000000
1680.313879,12589.000000
1683.240672,11220.000000
1686.163049,9690.000000
1689.081010,8354.000000
1691.994556,6931.000000
1694.903686,5899.000000
1697.808400,5194.000000
1700.708699,4296.000000
