Wavelength (nm),Reflectance (AU)
901.663021,0.109540
905.592173,0.109568
909.516909,0.109328
913.437229,0.108259
917.353134,0.108384
921.264622,0.108160
925.171696,0.107389
929.074353,0.107807
932.972595,0.108244
938.163382,0.107749
942.051321,0.108425
945.934844,0.108427
949.813951,0.108153
953.688643,0.107927
957.558919,0.107569
961.424779,0.107248
965.286223,0.107072
969.143252,0.105918
972.995866,0.104795
978.125814,0.103544
981.968124,0.102888
985.806019,0.101758
989.639497,0.101272
993.468560,0.100637
997.293207,0.100380
1001.113439,0.100715
1004.929255,0.100656
1008.740655,0.100938
1012.547640,0.101467
1016.350208,0.101556
1021.413431,0.102307
1025.205697,0.102196
1028.993547,0.102700
1032.776981,0.103052
1036.556000,0.103854
1040.330603,0.104119
1044.100790,0.104721
1047.866561,0.105144
1051.627917,0.105292
1055.384857,0.105928
1060.387242,0.106436
1064.133879,0.106612
1067.876100,0.106948
1071.613906,0.107180
1075.347296,0.107598
1079.076270,0.107793
1082.800829,0.107914
1086.520972,0.108288
1090.236699,0.108345
1093.948010,0.108435
1097.654906,0.108326
1102.590565,0.109011
1106.287158,0.109059
1109.979334,0.109187
1113.667096,0.109138
1117.350441,0.108858
1121.029371,0.108842
1124.703885,0.108516
1128.373984,0.107934
1132.039667,0.107720
1135.700934,0.106659
1140.575755,0.105143
1144.226718,0.103450
1147.873267,0.101763
1151.515399,0.100503
1155.153116,0.098611
1158.786417,0.096476
1162.415303,0.094537
1166.039773,0.092934
1169.659827,0.091418
1173.275465,0.089962
1176.886688,0.088656
1181.694783,0.086933
1185.295703,0.086160
1188.892206,0.085066
1192.484295,0.084310
1196.071967,0.083247
1199.655224,0.083084
1203.234065,0.082470
1206.808491,0.082501
1210.378500,0.082589
1213.944094,0.082946
1218.691351,0.083233
1222.246642,0.083758
1225.797517,0.084088
1229.343977,0.084292
1232.886021,0.084273
1236.423649,0.085328
1239.956861,0.085342
1243.485658,0.085729
1247.010039,0.085767
1250.530005,0.085929
1254.045554,0.086008
1258.726085,0.085797
1262.231332,0.085581
1265.732163,0.086330
1269.228578,0.086147
1272.720577,0.086701
1276.208161,0.087019
1279.691329,0.087421
1283.170082,0.087191
1286.644418,0.087634
1290.114340,0.087802
1294.734032,0.087921
1298.193650,0.087868
1301.648852,0.087919
1305.099639,0.087846
1308.546010,0.087735
1311.987965,0.087429
1315.425504,0.086792
1318.858628,0.086360
1322.287336,0.085549
1325.711628,0.084407
1329.131505,0.083069
1333.684472,0.081384
1337.094045,0.079801
1340.499203,0.078081
1343.899945,0.076323
1347.296272,0.074547
1350.688183,0.072547
1354.075678,0.070430
1357.458757,0.068754
1360.837421,0.067222
1364.211669,0.065610
1367.581501,0.064612
1372.067742,0.063417
1375.427272,0.062452
1378.782385,0.061036
1382.133083,0.060215
1385.479365,0.058548
1388.821231,0.056690
1392.158682,0.054494
1395.491717,0.052085
1398.820337,0.048903
1402.144540,0.046035
1406.569943,0.041842
1409.883843,0.038886
1413.193328,0.036118
1416.498397,0.033462
1419.799051,0.031298
1423.095289,0.029704
1426.387111,0.028530
1429.674517,0.027856
1432.957508,0.027162
1436.236083,0.026386
1439.510242,0.026107
1443.868919,0.025616
1447.132775,0.025286
1450.392216,0.025353
1453.647240,0.025245
1456.897849,0.024914
1460.144043,0.024902
1463.385821,0.024800
1466.623183,0.024697
1469.856129,0.024519
1473.084660,0.024502
1477.382498,0.024521
1480.600726,0.024822
1483.814538,0.024393
1487.023934,0.024742
1490.228914,0.024612
1493.429479,0.024604
1496.625628,0.024653
1499.817361,0.024899
1503.004679,0.024560
1506.187581,0.024975
1509.366067,0.024656
1513.597180,0.024882
1516.765363,0.025032
1519.929131,0.025028
1523.088482,0.025064
1526.243418,0.024847
1529.393939,0.025211
1532.540044,0.025101
1535.681733,0.025278
1538.819006,0.025089
1541.951864,0.024925
1546.122138,0.025038
1549.244693,0.024842
1552.362831,0.024794
1555.476554,0.024615
1558.585862,0.024430
1561.690753,0.024861
1564.791230,0.024546
1567.887290,0.024459
1570.978935,0.024786
1574.066163,0.024302
1577.148977,0.024613
1581.252526,0.025050
1584.325036,0.024785
1587.393130,0.024669
1590.456809,0.024560
1593.516072,0.024420
1596.570919,0.025082
1599.621351,0.024310
1602.667367,0.024955
1605.708967,0.024432
1608.746152,0.024700
1612.788862,0.024707
1615.815744,0.025239
1618.838209,0.025225
1621.856260,0.025499
1624.869894,0.025485
1627.879113,0.025796
1630.883915,0.026166
1633.884303,0.025458
1636.880274,0.025835
1639.871830,0.025731
1642.858971,0.026017
1646.834956,0.025975
1649.811793,0.026666
1652.784214,0.026543
1655.752220,0.027060
1658.715810,0.028109
1661.674984,0.028786
1664.629742,0.030122
1667.580085,0.031280
1670.526013,0.032488
1673.467524,0.036674
1677.382671,0.037978
1680.313879,0.040346
1683.240672,0.041860
1686.163049,0.039306
1689.081010,0.040201
1691.994556,0.039967
1694.903686,0.040067
1697.808400,0.038784
1700.708699,0.034963
