Wavelength (nm),Absorbance (AU)
901.663021,0.856559
905.592173,0.859658
909.516909,0.860635
913.437229,0.862192
917.353134,0.860855
921.264622,0.864792
925.171696,0.867519
929.074353,0.867507
932.972595,0.864594
938.163382,0.864911
942.051321,0.861096
945.934844,0.859420
949.813951,0.861545
953.688643,0.858289
957.558919,0.859451
961.424779,0.859048
965.286223,0.862590
969.143252,0.865082
972.995866,0.867528
978.125814,0.872271
981.968124,0.875877
985.806019,0.877195
989.639497,0.879040
993.468560,0.880561
997.293207,0.882113
1001.113439,0.880286
1004.929255,0.879160
1008.740655,0.876520
1012.547640,0.874397
1016.350208,0.872579
1021.413431,0.870050
1025.205697,0.868232
1028.993547,0.865358
1032.776981,0.863855
1036.556000,0.861441
1040.330603,0.861618
1044.100790,0.858688
1047.866561,0.856406
1051.627917,0.854661
1055.384857,0.853176
1060.387242,0.851584
1064.133879,0.852641
1067.876100,0.849020
1071.613906,0.848354
1075.347296,0.848355
1079.076270,0.847826
1082.800829,0.846040
1086.520972,0.844666
1090.236699,0.843726
1093.948010,0.843517
1097.654906,0.843089
1102.590565,0.841948
1106.287158,0.842289
1109.979334,0.842523
1113.667096,0.841386
1117.350441,0.841075
1121.029371,0.842440
1124.703885,0.844153
1128.373984,0.845765
1132.039667,0.849787
1135.700934,0.852157
1140.575755,0.858182
1144.226718,0.864440
1147.873267,0.871363
1151.515399,0.878602
1155.153116,0.887823
1158.786417,0.894925
1162.415303,0.903010
1166.039773,0.910456
1169.659827,0.916220
1173.275465,0.923354
1176.886688,0.930698
1181.694783,0.938344
1185.295703,0.942900
1188.892206,0.948764
1192.484295,0.951327
1196.071967,0.954778
1199.655224,0.958145
1203.234065,0.960694
1206.808491,0.961109
1210.378500,0.959378
1213.944094,0.960510
1218.691351,0.957151
1222.246642,0.955887
1225.797517,0.952265
1229.343977,0.948430
1232.886021,0.946426
1236.423649,0.944318
1239.956861,0.942245
1243.485658,0.941543
1247.010039,0.939548
1250.530005,0.938002
1254.045554,0.938083
1258.726085,0.937059
1262.231332,0.936753
1265.732163,0.934782
1269.228578,0.934321
1272.720577,0.932737
1276.208161,0.931837
1279.691329,0.929579
1283.170082,0.928228
1286.644418,0.928198
1290.114340,0.926612
1294.734032,0.925333
1298.193650,0.925671
1301.648852,0.923878
1305.099639,0.925955
1308.546010,0.926218
1311.987965,0.929593
1315.425504,0.931369
1318.858628,0.935471
1322.287336,0.940306
1325.711628,0.944980
1329.131505,0.951058
1333.684472,0.961222
1337.094045,0.969970
1340.499203,0.978815
1343.899945,0.988950
1347.296272,1.001126
1350.688183,1.012864
1354.075678,1.025194
1357.458757,1.035297
1360.837421,1.047458
1364.211669,1.054610
1367.581501,1.062397
1372.067742,1.071828
1375.427272,1.077773
1378.782385,1.087085
1382.133083,1.095156
1385.479365,1.109268
1388.821231,1.124410
1392.158682,1.142247
1395.491717,1.165769
1398.820337,1.192255
1402.144540,1.220495
1406.569943,1.259082
1409.883843,1.288055
1413.193328,1.315309
1416.498397,1.338243
1419.799051,1.355673
1423.095289,1.373324
1426.387111,1.383833
1429.674517,1.393929
1432.957508,1.399189
1436.236083,1.404353
1439.510242,1.405877
1443.868919,1.408479
1447.132775,1.412135
1450.392216,1.413215
1453.647240,1.415829
1456.897849,1.415642
1460.144043,1.415592
1463.385821,1.416688
1466.623183,1.418657
1469.856129,1.420340
1473.084660,1.417618
1477.382498,1.418648
1480.600726,1.416966
1483.814538,1.420943
1487.023934,1.417837
1490.228914,1.417151
1493.429479,1.416689
1496.625628,1.417600
1499.817361,1.414124
1503.004679,1.415943
1506.187581,1.415596
1509.366067,1.414542
1513.597180,1.414575
1516.765363,1.414954
1519.929131,1.411950
1523.088482,1.414236
1526.243418,1.411511
1529.393939,1.411407
1532.540044,1.411074
1535.681733,1.411074
1538.819006,1.407839
1541.951864,1.410892
1546.122138,1.410325
1549.244693,1.411116
1552.362831,1.416171
1555.476554,1.413459
1558.585862,1.411031
1561.690753,1.413133
1564.791230,1.415332
1567.887290,1.412847
1570.978935,1.407427
1574.066163,1.410431
1577.148977,1.409300
1581.252526,1.409553
1584.325036,1.409962
1587.393130,1.405100
1590.456809,1.403908
1593.516072,1.405069
1596.570919,1.402444
1599.621351,1.401402
1602.667367,1.400906
1605.708967,1.396652
1608.746152,1.400350
1612.788862,1.393704
1615.815744,1.386565
1618.838209,1.386871
1621.856260,1.381878
1624.869894,1.380915
1627.879113,1.378928
1630.883915,1.373872
1633.884303,1.372712
1636.880274,1.372058
1639.871830,1.371566
1642.858971,1.363983
1646.834956,1.357654
1649.811793,1.350837
1652.784214,1.350401
1655.752220,1.339606
1658.715810,1.324197
1661.674984,1.310957
1664.629742,1.293806
1667.580085,1.264961
1670.526013,1.222751
1673.467524,1.192701
1677.382671,1.144604
1680.313879,1.124873
1683.240672,1.105862
1686.163049,1.102780
1689.081010,1.091525
1691.994556,1.103278
1694.903686,1.098072
1697.808400,1.105975
1700.708699,1.138947
