Wavelength (nm),Absorbance (AU)
901.663021,0.951578
905.592173,0.944975
909.516909,0.947107
913.437229,0.950447
917.353134,0.951720
921.264622,0.948469
925.171696,0.952458
929.074353,0.949099
932.972595,0.947929
938.163382,0.944226
942.051321,0.944357
945.934844,0.943599
949.813951,0.944794
953.688643,0.945238
957.558919,0.948461
961.424779,0.949034
965.286223,0.952947
969.143252,0.956047
972.995866,0.959523
978.125814,0.966031
981.968124,0.971756
985.806019,0.975368
989.639497,0.977878
993.468560,0.980633
997.293207,0.980906
1001.113439,0.979191
1004.929255,0.976292
1008.740655,0.973663
1012.547640,0.974841
1016.350208,0.970903
1021.413431,0.967461
1025.205697,0.964469
1028.993547,0.961891
1032.776981,0.959147
1036.556000,0.959098
1040.330603,0.954070
1044.100790,0.951985
1047.866561,0.952427
1051.627917,0.948349
1055.384857,0.947385
1060.387242,0.943547
1064.133879,0.943973
1067.876100,0.941201
1071.613906,0.942083
1075.347296,0.939965
1079.076270,0.938380
1082.800829,0.939761
1086.520972,0.938064
1090.236699,0.937835
1093.948010,0.936936
1097.654906,0.935449
1102.590565,0.935816
1106.287158,0.935850
1109.979334,0.936240
1113.667096,0.935686
1117.350441,0.933288
1121.029371,0.937486
1124.703885,0.938859
1128.373984,0.942046
1132.039667,0.945354
1135.700934,0.951642
1140.575755,0.959388
1144.226718,0.967006
1147.873267,0.975584
1151.515399,0.987646
1155.153116,1.000331
1158.786417,1.008807
1162.415303,1.022804
1166.039773,1.032380
1169.659827,1.038910
1173.275465,1.049689
1176.886688,1.058253
1181.694783,1.069875
1185.295703,1.076680
1188.892206,1.083196
1192.484295,1.087812
1196.071967,1.093810
1199.655224,1.096605
1203.234065,1.099781
1206.808491,1.101286
1210.378500,1.100512
1213.944094,1.100211
1218.691351,1.095484
1222.246642,1.092856
1225.797517,1.087055
1229.343977,1.085908
1232.886021,1.081366
1236.423649,1.077950
1239.956861,1.075613
1243.485658,1.073674
1247.010039,1.070639
1250.530005,1.071173
1254.045554,1.069228
1258.726085,1.067397
1262.231332,1.066384
1265.732163,1.066610
1269.228578,1.065019
1272.720577,1.062169
1276.208161,1.061295
1279.691329,1.059662
1283.170082,1.057587
1286.644418,1.055728
1290.114340,1.054975
1294.734032,1.052991
1298.193650,1.052757
1301.648852,1.051400
1305.099639,1.052963
1308.546010,1.055274
1311.987965,1.057155
1315.425504,1.060696
1318.858628,1.065521
1322.287336,1.071943
1325.711628,1.079589
1329.131505,1.085986
1333.684472,1.101728
1337.094045,1.112435
1340.499203,1.124921
1343.899945,1.138775
1347.296272,1.153081
1350.688183,1.168664
1354.075678,1.185299
1357.458757,1.199696
1360.837421,1.214777
1364.211669,1.226771
1367.581501,1.237587
1372.067742,1.250781
1375.427272,1.258687
1378.782385,1.269978
1382.133083,1.285083
1385.479365,1.299765
1388.821231,1.323596
1392.158682,1.354082
1395.491717,1.383209
1398.820337,1.419158
1402.144540,1.460809
1406.569943,1.521081
1409.883843,1.565997
1413.193328,1.609262
1416.498397,1.647919
1419.799051,1.677462
1423.095289,1.702401
1426.387111,1.718153
1429.674517,1.737749
1432.957508,1.749461
1436.236083,1.752534
1439.510242,1.758314
1443.868919,1.762278
1447.132775,1.766384
1450.392216,1.765963
1453.647240,1.779299
1456.897849,1.777447
1460.144043,1.779838
1463.385821,1.775368
1466.623183,1.779380
1469.856129,1.780646
1473.084660,1.776861
1477.382498,1.778186
1480.600726,1.776531
1483.814538,1.776918
1487.023934,1.783381
1490.228914,1.773937
1493.429479,1.773730
1496.625628,1.773805
1499.817361,1.775333
1503.004679,1.774541
1506.187581,1.768693
1509.366067,1.772226
1513.597180,1.767166
1516.765363,1.769554
1519.929131,1.767676
1523.088482,1.765308
1526.243418,1.772160
1529.393939,1.758670
1532.540044,1.761734
1535.681733,1.761790
1538.819006,1.761218
1541.951864,1.762632
1546.122138,1.756522
1549.244693,1.759355
1552.362831,1.763851
1555.476554,1.766648
1558.585862,1.764935
1561.690753,1.757841
1564.791230,1.763086
1567.887290,1.761132
1570.978935,1.766109
1574.066163,1.759917
1577.148977,1.759012
1581.252526,1.762744
1584.325036,1.756617
1587.393130,1.757757
1590.456809,1.763882
1593.516072,1.751237
1596.570919,1.752136
1599.621351,1.738446
1602.667367,1.743252
1605.708967,1.739644
1608.746152,1.745062
1612.788862,1.741105
1615.815744,1.735080
1618.838209,1.731074
1621.856260,1.740034
1624.869894,1.731948
1627.879113,1.729646
1630.883915,1.730522
1633.884303,1.714614
1636.880274,1.714275
1639.871830,1.707768
1642.858971,1.723405
1646.834956,1.702961
1649.811793,1.699867
1652.784214,1.690833
1655.752220,1.694138
1658.715810,1.663242
1661.674984,1.658769
1664.629742,1.640537
1667.580085,1.627742
1670.526013,1.596017
1673.467524,1.561842
1677.382671,1.551782
1680.313879,1.538527
1683.240672,1.536148
1686.163049,1.539477
1689.081010,1.524736
1691.994556,1.538847
1694.903686,1.524152
1697.808400,1.574658
1700.708699,1.589663
