Wavelength (nm),Sample Signal (unitless)
901.663021,12721.000000
905.592173,13915.000000
909.516909,15068.000000
913.437229,16282.000000
917.353134,17766.000000
921.264622,19621.000000
925.171696,21602.000000
929.074353,24082.000000
932.972595,26251.000000
938.163382,29125.000000
942.051321,31327.000000
945.934844,33194.000000
949.813951,35161.000000
953.688643,37040.000000
957.558919,38561.000000
961.424779,39989.000000
965.286223,41178.000000
969.143252,41838.000000
972.995866,42529.000000
978.125814,43057.000000
981.968124,43381.000000
985.806019,43726.000000
989.639497,43802.000000
993.468560,43792.000000
997.293207,43543.000000
1001.113439,43275.000000
1004.929255,43246.000000
1008.740655,43054.000000
1012.547640,42875.000000
1016.350208,43052.000000
1021.413431,43163.000000
1025.205697,43425.000000
1028.993547,43506.000000
1032.776981,43739.000000
1036.556000,44178.000000
1040.330603,44691.000000
1044.100790,45139.000000
1047.866561,45531.000000
1051.627917,45952.000000
1055.384857,46275.000000
1060.387242,46828.000000
1064.133879,47361.000000
1067.876100,47720.000000
1071.613906,48001.000000
1075.347296,48599.000000
1079.076270,48862.000000
1082.800829,49236.000000
1086.520972,49377.000000
1090.236699,49752.000000
1093.948010,50082.000000
1097.654906,50298.000000
1102.590565,50511.000000
1106.287158,50463.000000
1109.979334,50707.000000
1113.667096,51008.000000
1117.350441,51016.000000
1121.029371,51074.000000
1124.703885,51042.000000
1128.373984,50857.000000
1132.039667,50568.000000
1135.700934,50324.000000
1140.575755,49837.000000
1144.226718,49106.000000
1147.873267,48564.000000
1151.515399,47809.000000
1155.153116,46921.000000
1158.786417,46230.000000
1162.415303,45640.000000
1166.039773,45349.000000
1169.659827,44931.000000
1173.275465,44489.000000
1176.886688,44334.000000
1181.694783,44016.000000
1185.295703,43974.000000
1188.892206,43940.000000
1192.484295,44101.000000
1196.071967,44225.000000
1199.655224,44619.000000
1203.234065,44894.000000
1206.808491,45448.000000
1210.378500,46126.000000
1213.944094,46857.000000
1218.691351,47982.000000
1222.246642,49265.000000
1225.797517,50342.000000
1229.343977,51316.000000
1232.886021,52487.000000
1236.423649,53420.000000
1239.956861,54284.000000
1243.485658,55132.000000
1247.010039,56065.000000
1250.530005,56707.000000
1254.045554,57165.000000
1258.726085,58218.000000
1262.231332,58820.000000
1265.732163,59536.000000
1269.228578,60165.000000
1272.720577,60938.000000
1276.208161,61522.000000
1279.691329,62326.000000
1283.170082,62759.000000
1286.644418,63572.000000
1290.114340,63928.000000
1294.734032,64503.000000
1298.193650,64800.000000
1301.648852,65041.000000
1305.099639,65018.000000
1308.546010,64908.000000
1311.987965,64843.000000
1315.425504,64230.000000
1318.858628,63777.000000
1322.287336,62962.000000
1325.711628,62237.000000
1329.131505,61037.000000
1333.684472,59591.000000
1337.094045,58242.000000
1340.499203,56623.000000
1343.899945,55204.000000
1347.296272,53359.000000
1350.688183,51748.000000
1354.075678,50277.000000
1357.458757,48764.000000
1360.837421,47625.000000
1364.211669,46075.000000
1367.581501,45087.000000
1372.067742,43821.000000
1375.427272,42799.000000
1378.782385,41528.000000
1382.133083,40079.000000
1385.479365,38463.000000
1388.821231,36472.000000
1392.158682,34816.000000
1395.491717,32766.000000
1398.820337,30771.000000
1402.144540,28497.000000
1406.569943,25659.000000
1409.883843,24013.000000
1413.193328,22326.000000
1416.498397,20773.000000
1419.799051,19736.000000
1423.095289,18627.000000
1426.387111,17892.000000
1429.674517,17241.000000
1432.957508,16658.000000
1436.236083,16271.000000
1439.510242,16180.000000
1443.868919,15760.000000
1447.132775,15492.000000
1450.392216,15507.000000
1453.647240,15229.000000
1456.897849,15194.000000
1460.144043,15077.000000
1463.385821,15124.000000
1466.623183,14747.000000
1469.856129,14850.000000
1473.084660,14727.000000
1477.382498,14589.000000
1480.600726,14392.000000
1483.814538,14480.000000
1487.023934,14501.000000
1490.228914,14366.000000
1493.429479,14461.000000
1496.625628,14463.000000
1499.817361,14443.000000
1503.004679,14388.000000
1506.187581,14399.000000
1509.366067,14267.000000
1513.597180,14175.000000
1516.765363,14142.000000
1519.929131,14039.000000
1523.088482,14140.000000
1526.243418,13820.000000
1529.393939,13775.000000
1532.540044,13531.000000
1535.681733,13587.000000
1538.819006,13248.000000
1541.951864,13207.000000
1546.122138,13176.000000
1549.244693,12919.000000
1552.362831,12617.000000
1555.476554,12368.000000
1558.585862,12330.000000
1561.690753,12101.000000
1564.791230,11852.000000
1567.887290,11722.000000
1570.978935,11324.000000
1574.066163,11311.000000
1577.148977,11088.000000
1581.252526,10774.000000
1584.325036,10801.000000
1587.393130,10526.000000
1590.456809,10271.000000
1593.516072,10169.000000
1596.570919,10010.000000
1599.621351,9897.000000
1602.667367,9850.000000
1605.708967,9513.000000
1608.746152,9242.000000
1612.788862,9211.000000
1615.815744,9066.000000
1618.838209,8771.000000
1621.856260,8702.000000
1624.869894,8556.000000
1627.879113,8433.000000
1630.883915,8159.000000
1633.884303,8083.000000
1636.880274,7892.000000
1639.871830,7696.000000
1642.858971,7455.000000
1646.834956,7440.000000
1649.811793,6980.000000
1652.784214,7017.000000
1655.752220,6942.000000
1658.715810,6606.000000
1661.674984,6263.000000
1664.629742,6057.000000
1667.580085,5818.000000
1670.526013,5346.000000
1673.467524,4961.000000
1677.382671,4380.000000
1680.313879,3893.000000
1683.240672,3382.000000
1686.163049,2852.000000
1689.081010,2403.000000
1691.994556,2054.000000
1694.903686,1699.000000
1697.808400,1512.000000
1700.708699,1420.000000
