Wavelength (nm),Reflectance (AU)
901.663021,0.118386
905.592173,0.118198
909.516909,0.118461
913.437229,0.118681
917.353134,0.119643
921.264622,0.119287
925.171696,0.119308
929.074353,0.119805
932.972595,0.120323
938.163382,0.121943
942.051321,0.122051
945.934844,0.122533
949.813951,0.122498
953.688643,0.122824
957.558919,0.122639
961.424779,0.122315
965.286223,0.122154
969.143252,0.122109
972.995866,0.121121
978.125814,0.120770
981.968124,0.119871
985.806019,0.119443
989.639497,0.118825
993.468560,0.118654
997.293207,0.118607
1001.113439,0.119094
1004.929255,0.118989
1008.740655,0.119715
1012.547640,0.119971
1016.350208,0.120416
1021.413431,0.120723
1025.205697,0.121589
1028.993547,0.121699
1032.776981,0.121878
1036.556000,0.122807
1040.330603,0.123358
1044.100790,0.123162
1047.866561,0.123479
1051.627917,0.123372
1055.384857,0.123864
1060.387242,0.124243
1064.133879,0.123924
1067.876100,0.123470
1071.613906,0.123767
1075.347296,0.123843
1079.076270,0.123596
1082.800829,0.123449
1086.520972,0.123266
1090.236699,0.123345
1093.948010,0.123193
1097.654906,0.123252
1102.590565,0.123043
1106.287158,0.122650
1109.979334,0.122562
1113.667096,0.122557
1117.350441,0.122170
1121.029371,0.122103
1124.703885,0.121275
1128.373984,0.120861
1132.039667,0.120032
1135.700934,0.118919
1140.575755,0.117669
1144.226718,0.116076
1147.873267,0.114936
1151.515399,0.113300
1155.153116,0.110998
1158.786417,0.109141
1162.415303,0.108040
1166.039773,0.106084
1169.659827,0.104976
1173.275465,0.103325
1176.886688,0.101850
1181.694783,0.100141
1185.295703,0.098941
1188.892206,0.098087
1192.484295,0.097161
1196.071967,0.096746
1199.655224,0.096507
1203.234065,0.095980
1206.808491,0.095908
1210.378500,0.095767
1213.944094,0.095749
1218.691351,0.096000
1222.246642,0.096611
1225.797517,0.097102
1229.343977,0.097998
1232.886021,0.098385
1236.423649,0.098565
1239.956861,0.099022
1243.485658,0.099122
1247.010039,0.099406
1250.530005,0.099760
1254.045554,0.099549
1258.726085,0.099601
1262.231332,0.099789
1265.732163,0.099767
1269.228578,0.100162
1272.720577,0.100224
1276.208161,0.100508
1279.691329,0.100515
1283.170082,0.101071
1286.644418,0.101259
1290.114340,0.101146
1294.734032,0.101384
1298.193650,0.101376
1301.648852,0.101193
1305.099639,0.101253
1308.546010,0.101080
1311.987965,0.100636
1315.425504,0.100168
1318.858628,0.099498
1322.287336,0.098752
1325.711628,0.098057
1329.131505,0.096980
1333.684472,0.095293
1337.094045,0.093980
1340.499203,0.092338
1343.899945,0.090800
1347.296272,0.089153
1350.688183,0.087148
1354.075678,0.085238
1357.458757,0.083588
1360.837421,0.081984
1364.211669,0.080387
1367.581501,0.079546
1372.067742,0.078290
1375.427272,0.077341
1378.782385,0.076325
1382.133083,0.074834
1385.479365,0.072975
1388.821231,0.071123
1392.158682,0.068949
1395.491717,0.066104
1398.820337,0.063100
1402.144540,0.060055
1406.569943,0.055789
1409.883843,0.052333
1413.193328,0.048924
1416.498397,0.046471
1419.799051,0.043698
1423.095289,0.042166
1426.387111,0.040394
1429.674517,0.039023
1432.957508,0.038177
1436.236083,0.037184
1439.510242,0.036874
1443.868919,0.036256
1447.132775,0.035862
1450.392216,0.035562
1453.647240,0.035423
1456.897849,0.035430
1460.144043,0.035159
1463.385821,0.034783
1466.623183,0.034783
1469.856129,0.034638
1473.084660,0.034854
1477.382498,0.034587
1480.600726,0.034617
1483.814538,0.034476
1487.023934,0.034794
1490.228914,0.034999
1493.429479,0.034694
1496.625628,0.034683
1499.817361,0.035109
1503.004679,0.034887
1506.187581,0.035272
1509.366067,0.035168
1513.597180,0.035411
1516.765363,0.035584
1519.929131,0.035856
1523.088482,0.036041
1526.243418,0.036027
1529.393939,0.036497
1532.540044,0.036458
1535.681733,0.036456
1538.819006,0.036492
1541.951864,0.036658
1546.122138,0.036630
1549.244693,0.036375
1552.362831,0.036746
1555.476554,0.036623
1558.585862,0.036958
1561.690753,0.036614
1564.791230,0.037307
1567.887290,0.036980
1570.978935,0.036875
1574.066163,0.037437
1577.148977,0.037469
1581.252526,0.037774
1584.325036,0.038217
1587.393130,0.038261
1590.456809,0.038179
1593.516072,0.038364
1596.570919,0.038716
1599.621351,0.039274
1602.667367,0.039607
1605.708967,0.039499
1608.746152,0.039856
1612.788862,0.040696
1615.815744,0.040909
1618.838209,0.041567
1621.856260,0.041528
1624.869894,0.042065
1627.879113,0.042762
1630.883915,0.043215
1633.884303,0.043496
1636.880274,0.044012
1639.871830,0.044593
1642.858971,0.044598
1646.834956,0.045826
1649.811793,0.046030
1652.784214,0.047093
1655.752220,0.047265
1658.715810,0.048001
1661.674984,0.049374
1664.629742,0.050852
1667.580085,0.052399
1670.526013,0.055328
1673.467524,0.057266
1677.382671,0.058584
1680.313879,0.060311
1683.240672,0.058717
1686.163049,0.058639
1689.081010,0.060951
1691.994556,0.055833
1694.903686,0.060602
1697.808400,0.058530
1700.708699,0.058047
