Wavelength (nm),Reflectance (AU)
901.663021,0.149087
905.592173,0.148405
909.516909,0.147271
913.437229,0.146382
917.353134,0.146563
921.264622,0.145758
925.171696,0.145311
929.074353,0.144915
932.972595,0.145484
938.163382,0.145710
942.051321,0.146239
945.934844,0.146976
949.813951,0.146965
953.688643,0.147316
957.558919,0.146945
961.424779,0.147462
965.286223,0.146003
969.143252,0.145042
972.995866,0.144252
978.125814,0.143286
981.968124,0.142601
985.806019,0.141611
989.639497,0.140772
993.468560,0.140142
997.293207,0.140329
1001.113439,0.140993
1004.929255,0.141385
1008.740655,0.141208
1012.547640,0.141591
1016.350208,0.142821
1021.413431,0.143030
1025.205697,0.143678
1028.993547,0.144219
1032.776981,0.144846
1036.556000,0.145028
1040.330603,0.145487
1044.100790,0.145925
1047.866561,0.146167
1051.627917,0.146073
1055.384857,0.146293
1060.387242,0.146275
1064.133879,0.145830
1067.876100,0.146342
1071.613906,0.146342
1075.347296,0.146317
1079.076270,0.146270
1082.800829,0.146259
1086.520972,0.145966
1090.236699,0.145636
1093.948010,0.145379
1097.654906,0.145082
1102.590565,0.145246
1106.287158,0.145027
1109.979334,0.144511
1113.667096,0.144138
1117.350441,0.143910
1121.029371,0.142955
1124.703885,0.141978
1128.373984,0.141313
1132.039667,0.140258
1135.700934,0.138917
1140.575755,0.136403
1144.226718,0.134517
1147.873267,0.132079
1151.515399,0.129423
1155.153116,0.127160
1158.786417,0.124724
1162.415303,0.122441
1166.039773,0.120686
1169.659827,0.119027
1173.275465,0.116824
1176.886688,0.115340
1181.694783,0.113061
1185.295703,0.112224
1188.892206,0.110977
1192.484295,0.109981
1196.071967,0.109307
1199.655224,0.108742
1203.234065,0.108163
1206.808491,0.108101
1210.378500,0.108344
1213.944094,0.108388
1218.691351,0.108723
1222.246642,0.108859
1225.797517,0.109600
1229.343977,0.109925
1232.886021,0.110596
1236.423649,0.111049
1239.956861,0.111529
1243.485658,0.111722
1247.010039,0.112280
1250.530005,0.112259
1254.045554,0.112759
1258.726085,0.112955
1262.231332,0.113121
1265.732163,0.113135
1269.228578,0.113621
1272.720577,0.113900
1276.208161,0.114278
1279.691329,0.114121
1283.170082,0.114602
1286.644418,0.115010
1290.114340,0.114949
1294.734032,0.115214
1298.193650,0.114957
1301.648852,0.114895
1305.099639,0.114606
1308.546010,0.114216
1311.987965,0.113532
1315.425504,0.112885
1318.858628,0.111888
1322.287336,0.111063
1325.711628,0.109486
1329.131505,0.107946
1333.684472,0.105723
1337.094045,0.103946
1340.499203,0.102017
1343.899945,0.100164
1347.296272,0.097689
1350.688183,0.095879
1354.075678,0.093757
1357.458757,0.091751
1360.837421,0.089996
1364.211669,0.088329
1367.581501,0.087214
1372.067742,0.085588
1375.427272,0.084479
1378.782385,0.082819
1382.133083,0.081442
1385.479365,0.079096
1388.821231,0.076741
1392.158682,0.073787
1395.491717,0.070536
1398.820337,0.066876
1402.144540,0.063111
1406.569943,0.058272
1409.883843,0.054727
1413.193328,0.051568
1416.498397,0.048591
1419.799051,0.046294
1423.095289,0.044423
1426.387111,0.042936
1429.674517,0.041784
1432.957508,0.040883
1436.236083,0.040122
1439.510242,0.039777
1443.868919,0.039275
1447.132775,0.038883
1450.392216,0.038650
1453.647240,0.038563
1456.897849,0.038387
1460.144043,0.038312
1463.385821,0.038067
1466.623183,0.038183
1469.856129,0.037848
1473.084660,0.038100
1477.382498,0.037998
1480.600726,0.038390
1483.814538,0.038193
1487.023934,0.038262
1490.228914,0.038439
1493.429479,0.038554
1496.625628,0.038586
1499.817361,0.038619
1503.004679,0.038994
1506.187581,0.038940
1509.366067,0.039211
1513.597180,0.039438
1516.765363,0.039633
1519.929131,0.039659
1523.088482,0.039935
1526.243418,0.040152
1529.393939,0.039878
1532.540044,0.040361
1535.681733,0.040113
1538.819006,0.040331
1541.951864,0.040286
1546.122138,0.040458
1549.244693,0.040348
1552.362831,0.040308
1555.476554,0.040252
1558.585862,0.040373
1561.690753,0.040518
1564.791230,0.040550
1567.887290,0.040805
1570.978935,0.040762
1574.066163,0.040791
1577.148977,0.041124
1581.252526,0.040977
1584.325036,0.041158
1587.393130,0.041415
1590.456809,0.041570
1593.516072,0.041585
1596.570919,0.042208
1599.621351,0.042266
1602.667367,0.042548
1605.708967,0.042495
1608.746152,0.042885
1612.788862,0.043276
1615.815744,0.043743
1618.838209,0.043993
1621.856260,0.043861
1624.869894,0.045072
1627.879113,0.044851
1630.883915,0.045242
1633.884303,0.045443
1636.880274,0.045675
1639.871830,0.045670
1642.858971,0.046541
1646.834956,0.046760
1649.811793,0.047461
1652.784214,0.047910
1655.752220,0.049138
1658.715810,0.049734
1661.674984,0.051985
1664.629742,0.053626
1667.580085,0.056463
1670.526013,0.060524
1673.467524,0.063617
1677.382671,0.068759
1680.313879,0.070463
1683.240672,0.072025
1686.163049,0.074678
1689.081010,0.073771
1691.994556,0.070265
1694.903686,0.070860
1697.808400,0.068131
1700.708699,0.070330
