Wavelength (nm),Absorbance (AU)
901.663021,0.998891
905.592173,0.999192
909.516909,1.002608
913.437229,1.007495
917.353134,1.005981
921.264622,1.011270
925.171696,1.009575
929.074353,1.015424
932.972595,1.014461
938.163382,1.015475
942.051321,1.015290
945.934844,1.017812
949.813951,1.020630
953.688643,1.019265
957.558919,1.021802
961.424779,1.024306
965.286223,1.030385
969.143252,1.031923
972.995866,1.037385
978.125814,1.042956
981.968124,1.047863
985.806019,1.050949
989.639497,1.055274
993.468560,1.058307
997.293207,1.057550
1001.113439,1.055859
1004.929255,1.057545
1008.740655,1.056681
1012.547640,1.054779
1016.350208,1.052709
1021.413431,1.050305
1025.205697,1.048941
1028.993547,1.044976
1032.776981,1.045461
1036.556000,1.045069
1040.330603,1.041192
1044.100790,1.040725
1047.866561,1.038757
1051.627917,1.038367
1055.384857,1.036425
1060.387242,1.034830
1064.133879,1.034146
1067.876100,1.032695
1071.613906,1.031655
1075.347296,1.030714
1079.076270,1.031066
1082.800829,1.029520
1086.520972,1.030243
1090.236699,1.030255
1093.948010,1.028739
1097.654906,1.030780
1102.590565,1.029632
1106.287158,1.026861
1109.979334,1.030017
1113.667096,1.028409
1117.350441,1.029641
1121.029371,1.030552
1124.703885,1.031501
1128.373984,1.033040
1132.039667,1.038994
1135.700934,1.043766
1140.575755,1.050251
1144.226718,1.056041
1147.873267,1.064445
1151.515399,1.071164
1155.153116,1.080426
1158.786417,1.086316
1162.415303,1.094434
1166.039773,1.100599
1169.659827,1.107769
1173.275465,1.111818
1176.886688,1.116340
1181.694783,1.125430
1185.295703,1.129348
1188.892206,1.132011
1192.484295,1.135897
1196.071967,1.138914
1199.655224,1.140248
1203.234065,1.141292
1206.808491,1.143751
1210.378500,1.144447
1213.944094,1.141989
1218.691351,1.141474
1222.246642,1.140420
1225.797517,1.139270
1229.343977,1.136727
1232.886021,1.137849
1236.423649,1.140414
1239.956861,1.135298
1243.485658,1.135688
1247.010039,1.135233
1250.530005,1.132937
1254.045554,1.133296
1258.726085,1.132334
1262.231332,1.133452
1265.732163,1.132429
1269.228578,1.131984
1272.720577,1.128903
1276.208161,1.130824
1279.691329,1.128474
1283.170082,1.126946
1286.644418,1.126162
1290.114340,1.126669
1294.734032,1.126816
1298.193650,1.127281
1301.648852,1.127611
1305.099639,1.129023
1308.546010,1.129258
1311.987965,1.131719
1315.425504,1.133463
1318.858628,1.140040
1322.287336,1.142850
1325.711628,1.148336
1329.131505,1.154661
1333.684472,1.162548
1337.094045,1.170016
1340.499203,1.178441
1343.899945,1.186332
1347.296272,1.193438
1350.688183,1.200264
1354.075678,1.210661
1357.458757,1.215073
1360.837421,1.223414
1364.211669,1.229732
1367.581501,1.232728
1372.067742,1.240091
1375.427272,1.243165
1378.782385,1.248645
1382.133083,1.254935
1385.479365,1.260074
1388.821231,1.268268
1392.158682,1.278356
1395.491717,1.289715
1398.820337,1.300255
1402.144540,1.311457
1406.569943,1.323729
1409.883843,1.333707
1413.193328,1.341369
1416.498397,1.348589
1419.799051,1.353176
1423.095289,1.356829
1426.387111,1.362870
1429.674517,1.364785
1432.957508,1.368342
1436.236083,1.370560
1439.510242,1.370354
1443.868919,1.372544
1447.132775,1.374256
1450.392216,1.376369
1453.647240,1.376458
1456.897849,1.374834
1460.144043,1.377174
1463.385821,1.379108
1466.623183,1.377194
1469.856129,1.379342
1473.084660,1.380811
1477.382498,1.379651
1480.600726,1.381094
1483.814538,1.380730
1487.023934,1.380307
1490.228914,1.377616
1493.429479,1.380359
1496.625628,1.379737
1499.817361,1.379434
1503.004679,1.377225
1506.187581,1.380891
1509.366067,1.377507
1513.597180,1.378413
1516.765363,1.379379
1519.929131,1.378494
1523.088482,1.378304
1526.243418,1.379560
1529.393939,1.378396
1532.540044,1.378614
1535.681733,1.375386
1538.819006,1.378170
1541.951864,1.379742
1546.122138,1.379541
1549.244693,1.380503
1552.362831,1.382804
1555.476554,1.383928
1558.585862,1.383152
1561.690753,1.379584
1564.791230,1.383675
1567.887290,1.380297
1570.978935,1.380395
1574.066163,1.381613
1577.148977,1.381472
1581.252526,1.380019
1584.325036,1.381249
1587.393130,1.381354
1590.456809,1.378616
1593.516072,1.380174
1596.570919,1.378365
1599.621351,1.377939
1602.667367,1.381137
1605.708967,1.376208
1608.746152,1.379952
1612.788862,1.380063
1615.815744,1.382890
1618.838209,1.378729
1621.856260,1.373929
1624.869894,1.374726
1627.879113,1.379658
1630.883915,1.371307
1633.884303,1.372016
1636.880274,1.370909
1639.871830,1.375863
1642.858971,1.373795
1646.834956,1.371210
1649.811793,1.369722
1652.784214,1.364689
1655.752220,1.354888
1658.715810,1.349639
1661.674984,1.342594
1664.629742,1.317183
1667.580085,1.298730
1670.526013,1.271731
1673.467524,1.251609
1677.382671,1.207816
1680.313879,1.191647
1683.240672,1.175686
1686.163049,1.185224
1689.081010,1.159402
1691.994556,1.185160
1694.903686,1.179869
1697.808400,1.215251
1700.708699,1.213449
