Wavelength (nm),Sample Signal (unitless)
901.663021,12382.000000
905.592173,13496.000000
909.516909,14438.000000
913.437229,15583.000000
917.353134,17004.000000
921.264622,18574.000000
925.171696,20574.000000
929.074353,22515.000000
932.972595,24643.000000
938.163382,27144.000000
942.051321,29070.000000
945.934844,30800.000000
949.813951,32370.000000
953.688643,33950.000000
957.558919,35169.000000
961.424779,36378.000000
965.286223,37185.000000
969.143252,38090.000000
972.995866,38422.000000
978.125814,38862.000000
981.968124,39165.000000
985.806019,39338.000000
989.639497,39633.000000
993.468560,39319.000000
997.293207,39078.000000
1001.113439,38734.000000
1004.929255,38666.000000
1008.740655,38432.000000
1012.547640,38259.000000
1016.350208,38439.000000
1021.413431,38722.000000
1025.205697,38589.000000
1028.993547,38888.000000
1032.776981,39048.000000
1036.556000,39481.000000
1040.330603,39951.000000
1044.100790,40257.000000
1047.866561,40738.000000
1051.627917,40962.000000
1055.384857,41423.000000
1060.387242,42117.000000
1064.133879,42494.000000
1067.876100,42822.000000
1071.613906,43242.000000
1075.347296,43515.000000
1079.076270,43997.000000
1082.800829,44229.000000
1086.520972,44669.000000
1090.236699,44741.000000
1093.948010,45041.000000
1097.654906,45367.000000
1102.590565,45686.000000
1106.287158,45999.000000
1109.979334,46076.000000
1113.667096,46449.000000
1117.350441,46457.000000
1121.029371,46474.000000
1124.703885,46591.000000
1128.373984,46340.000000
1132.039667,46135.000000
1135.700934,46020.000000
1140.575755,45614.000000
1144.226718,45120.000000
1147.873267,44726.000000
1151.515399,44208.000000
1155.153116,43402.000000
1158.786417,42968.000000
1162.415303,42723.000000
1166.039773,42400.000000
1169.659827,42188.000000
1173.275465,42081.000000
1176.886688,42154.000000
1181.694783,42036.000000
1185.295703,42269.000000
1188.892206,42369.000000
1192.484295,42744.000000
1196.071967,42974.000000
1199.655224,43236.000000
1203.234065,43804.000000
1206.808491,44432.000000
1210.378500,45165.000000
1213.944094,45964.000000
1218.691351,46854.000000
1222.246642,47710.000000
1225.797517,48572.000000
1229.343977,49429.000000
1232.886021,50091.000000
1236.423649,51148.000000
1239.956861,51892.000000
1243.485658,52297.000000
1247.010039,52991.000000
1250.530005,53482.000000
1254.045554,54094.000000
1258.726085,54899.000000
1262.231332,55266.000000
1265.732163,56137.000000
1269.228578,56554.000000
1272.720577,57044.000000
1276.208161,57821.000000
1279.691329,58338.000000
1283.170082,58846.000000
1286.644418,59306.000000
1290.114340,59680.000000
1294.734032,59995.000000
1298.193650,60349.000000
1301.648852,60449.000000
1305.099639,60582.000000
1308.546010,60383.000000
1311.987965,60314.000000
1315.425504,59956.000000
1318.858628,59345.000000
1322.287336,58806.000000
1325.711628,58009.000000
1329.131505,57048.000000
1333.684472,55704.000000
1337.094045,54743.000000
1340.499203,53680.000000
1343.899945,52383.000000
1347.296272,51294.000000
1350.688183,50009.000000
1354.075678,48722.000000
1357.458757,47574.000000
1360.837421,46304.000000
1364.211669,45540.000000
1367.581501,44898.000000
1372.067742,43924.000000
1375.427272,42952.000000
1378.782385,42056.000000
1382.133083,40875.000000
1385.479365,39418.000000
1388.821231,38086.000000
1392.158682,37002.000000
1395.491717,35186.000000
1398.820337,34009.000000
1402.144540,32953.000000
1406.569943,31181.000000
1409.883843,30231.000000
1413.193328,29207.000000
1416.498397,28710.000000
1419.799051,28043.000000
1423.095289,27785.000000
1426.387111,27273.000000
1429.674517,27221.000000
1432.957508,27008.000000
1436.236083,26888.000000
1439.510242,26724.000000
1443.868919,26566.000000
1447.132775,26579.000000
1450.392216,26495.000000
1453.647240,26530.000000
1456.897849,26196.000000
1460.144043,26161.000000
1463.385821,26298.000000
1466.623183,25968.000000
1469.856129,25959.000000
1473.084660,26034.000000
1477.382498,25724.000000
1480.600726,25615.000000
1483.814538,25606.000000
1487.023934,25537.000000
1490.228914,25112.000000
1493.429479,24974.000000
1496.625628,24829.000000
1499.817361,24852.000000
1503.004679,24685.000000
1506.187581,24283.000000
1509.366067,24138.000000
1513.597180,23851.000000
1516.765363,23554.000000
1519.929131,23423.000000
1523.088482,23355.000000
1526.243418,22985.000000
1529.393939,22634.000000
1532.540044,22460.000000
1535.681733,22133.000000
1538.819006,21861.000000
1541.951864,21631.000000
1546.122138,21211.000000
1549.244693,20841.000000
1552.362831,20229.000000
1555.476554,19950.000000
1558.585862,19629.000000
1561.690753,19353.000000
1564.791230,18907.000000
1567.887290,18483.000000
1570.978935,18040.000000
1574.066163,17666.000000
1577.148977,17292.000000
1581.252526,16860.000000
1584.325036,16360.000000
1587.393130,15881.000000
1590.456809,15675.000000
1593.516072,15218.000000
1596.570919,14963.000000
1599.621351,14571.000000
1602.667367,14414.000000
1605.708967,14034.000000
1608.746152,13617.000000
1612.788862,13061.000000
1615.815744,12792.000000
1618.838209,12401.000000
1621.856260,12239.000000
1624.869894,11775.000000
1627.879113,11728.000000
1630.883915,11362.000000
1633.884303,11047.000000
1636.880274,10734.000000
1639.871830,10393.000000
1642.858971,10170.000000
1646.834956,9646.000000
1649.811793,9524.000000
1652.784214,9176.000000
1655.752220,8784.000000
1658.715810,8521.000000
1661.674984,8369.000000
1664.629742,8070.000000
1667.580085,7661.000000
1670.526013,7267.000000
1673.467524,6679.000000
1677.382671,5936.000000
1680.313879,5444.000000
1683.240672,4685.000000
1686.163049,4044.000000
1689.081010,3441.000000
1691.994556,2713.000000
1694.903686,2565.000000
1697.808400,2122.000000
1700.708699,1665.000000
