Wavelength (nm),Reflectance (AU)
901.663021,0.108517
905.592173,0.110227
909.516909,0.109605
913.437229,0.110639
917.353134,0.111572
921.264622,0.110799
925.171696,0.109969
929.074353,0.111233
932.972595,0.111098
938.163382,0.113324
942.051321,0.113395
945.934844,0.114540
949.813951,0.115447
953.688643,0.115597
957.558919,0.115899
961.424779,0.115994
965.286223,0.115688
969.143252,0.115082
972.995866,0.114810
978.125814,0.113919
981.968124,0.112437
985.806019,0.112428
989.639497,0.111674
993.468560,0.111326
997.293207,0.111565
1001.113439,0.111890
1004.929255,0.112159
1008.740655,0.112524
1012.547640,0.112948
1016.350208,0.113533
1021.413431,0.113485
1025.205697,0.114224
1028.993547,0.114854
1032.776981,0.114891
1036.556000,0.115327
1040.330603,0.116183
1044.100790,0.116340
1047.866561,0.116455
1051.627917,0.117110
1055.384857,0.116998
1060.387242,0.117194
1064.133879,0.116895
1067.876100,0.117407
1071.613906,0.117513
1075.347296,0.117657
1079.076270,0.117464
1082.800829,0.117127
1086.520972,0.117189
1090.236699,0.116847
1093.948010,0.117253
1097.654906,0.117049
1102.590565,0.116832
1106.287158,0.116964
1109.979334,0.116503
1113.667096,0.116195
1117.350441,0.116118
1121.029371,0.115475
1124.703885,0.114993
1128.373984,0.114387
1132.039667,0.113125
1135.700934,0.111982
1140.575755,0.110957
1144.226718,0.109000
1147.873267,0.107591
1151.515399,0.105831
1155.153116,0.103738
1158.786417,0.101457
1162.415303,0.099747
1166.039773,0.098333
1169.659827,0.096603
1173.275465,0.095457
1176.886688,0.094072
1181.694783,0.092155
1185.295703,0.091268
1188.892206,0.090189
1192.484295,0.089746
1196.071967,0.089055
1199.655224,0.088720
1203.234065,0.088514
1206.808491,0.087973
1210.378500,0.087980
1213.944094,0.087632
1218.691351,0.088146
1222.246642,0.088606
1225.797517,0.089457
1229.343977,0.089915
1232.886021,0.090368
1236.423649,0.090761
1239.956861,0.090801
1243.485658,0.091018
1247.010039,0.091295
1250.530005,0.091358
1254.045554,0.091419
1258.726085,0.091618
1262.231332,0.091480
1265.732163,0.091868
1269.228578,0.091801
1272.720577,0.091718
1276.208161,0.091689
1279.691329,0.092145
1283.170082,0.092447
1286.644418,0.092699
1290.114340,0.092900
1294.734032,0.092833
1298.193650,0.092983
1301.648852,0.093124
1305.099639,0.092671
1308.546010,0.092395
1311.987965,0.092061
1315.425504,0.091895
1318.858628,0.091357
1322.287336,0.090488
1325.711628,0.089661
1329.131505,0.088850
1333.684472,0.087151
1337.094045,0.085673
1340.499203,0.084036
1343.899945,0.082854
1347.296272,0.081045
1350.688183,0.079493
1354.075678,0.078131
1357.458757,0.076762
1360.837421,0.075172
1364.211669,0.074156
1367.581501,0.073352
1372.067742,0.072208
1375.427272,0.071384
1378.782385,0.070585
1382.133083,0.069459
1385.479365,0.068437
1388.821231,0.067342
1392.158682,0.065759
1395.491717,0.064080
1398.820337,0.062286
1402.144540,0.060449
1406.569943,0.057683
1409.883843,0.055612
1413.193328,0.053469
1416.498397,0.051839
1419.799051,0.050408
1423.095289,0.048773
1426.387111,0.047877
1429.674517,0.046944
1432.957508,0.046140
1436.236083,0.045410
1439.510242,0.044627
1443.868919,0.043952
1447.132775,0.043290
1450.392216,0.042831
1453.647240,0.042413
1456.897849,0.041601
1460.144043,0.041670
1463.385821,0.041495
1466.623183,0.041060
1469.856129,0.040768
1473.084660,0.040692
1477.382498,0.040489
1480.600726,0.040153
1483.814538,0.040079
1487.023934,0.040257
1490.228914,0.039696
1493.429479,0.040209
1496.625628,0.039781
1499.817361,0.040164
1503.004679,0.040386
1506.187581,0.040158
1509.366067,0.040643
1513.597180,0.040806
1516.765363,0.040997
1519.929131,0.041224
1523.088482,0.041158
1526.243418,0.041437
1529.393939,0.041261
1532.540044,0.041583
1535.681733,0.041338
1538.819006,0.041421
1541.951864,0.041588
1546.122138,0.041458
1549.244693,0.041790
1552.362831,0.041457
1555.476554,0.041503
1558.585862,0.042047
1561.690753,0.041714
1564.791230,0.041985
1567.887290,0.042369
1570.978935,0.041950
1574.066163,0.042421
1577.148977,0.041952
1581.252526,0.042607
1584.325036,0.042476
1587.393130,0.042307
1590.456809,0.042898
1593.516072,0.042627
1596.570919,0.043264
1599.621351,0.043262
1602.667367,0.043998
1605.708967,0.044140
1608.746152,0.044667
1612.788862,0.045067
1615.815744,0.045368
1618.838209,0.045947
1621.856260,0.046294
1624.869894,0.046608
1627.879113,0.046898
1630.883915,0.046889
1633.884303,0.047721
1636.880274,0.047851
1639.871830,0.048877
1642.858971,0.048563
1646.834956,0.048875
1649.811793,0.049150
1652.784214,0.049835
1655.752220,0.050530
1658.715810,0.051683
1661.674984,0.053773
1664.629742,0.056509
1667.580085,0.059236
1670.526013,0.063387
1673.467524,0.066769
1677.382671,0.070805
1680.313879,0.074172
1683.240672,0.074284
1686.163049,0.075358
1689.081010,0.073694
1691.994556,0.072000
1694.903686,0.070532
1697.808400,0.072577
1700.708699,0.070815
