Wavelength (nm),Absorbance (AU)
901.663021,0.803212
905.592173,0.807222
909.516909,0.808129
913.437229,0.809521
917.353134,0.810625
921.264622,0.814792
925.171696,0.809974
929.074353,0.810317
932.972595,0.806780
938.163382,0.801593
942.051321,0.799005
945.934844,0.795249
949.813951,0.791665
953.688643,0.789532
957.558919,0.788039
961.424779,0.786949
965.286223,0.787050
969.143252,0.787779
972.995866,0.788101
978.125814,0.791874
981.968124,0.792331
985.806019,0.794011
989.639497,0.794916
993.468560,0.796146
997.293207,0.796234
1001.113439,0.795464
1004.929255,0.792392
1008.740655,0.791961
1012.547640,0.790389
1016.350208,0.788647
1021.413431,0.787368
1025.205697,0.784729
1028.993547,0.783674
1032.776981,0.782549
1036.556000,0.781883
1040.330603,0.779291
1044.100790,0.780395
1047.866561,0.778144
1051.627917,0.777055
1055.384857,0.777074
1060.387242,0.777773
1064.133879,0.776836
1067.876100,0.777432
1071.613906,0.777274
1075.347296,0.776827
1079.076270,0.777803
1082.800829,0.777895
1086.520972,0.778008
1090.236699,0.778033
1093.948010,0.778844
1097.654906,0.778544
1102.590565,0.778814
1106.287158,0.777251
1109.979334,0.780134
1113.667096,0.782023
1117.350441,0.781930
1121.029371,0.783135
1124.703885,0.784600
1128.373984,0.787865
1132.039667,0.790906
1135.700934,0.794593
1140.575755,0.799857
1144.226718,0.804650
1147.873267,0.811658
1151.515399,0.816855
1155.153116,0.824697
1158.786417,0.831729
1162.415303,0.839039
1166.039773,0.844157
1169.659827,0.849553
1173.275465,0.856911
1176.886688,0.861964
1181.694783,0.869882
1185.295703,0.873732
1188.892206,0.878593
1192.484295,0.884207
1196.071967,0.883598
1199.655224,0.885777
1203.234065,0.888847
1206.808491,0.889658
1210.378500,0.891292
1213.944094,0.890777
1218.691351,0.888123
1222.246642,0.886126
1225.797517,0.882855
1229.343977,0.880953
1232.886021,0.877326
1236.423649,0.875851
1239.956861,0.874468
1243.485658,0.873416
1247.010039,0.873024
1250.530005,0.871864
1254.045554,0.871171
1258.726085,0.869942
1262.231332,0.869764
1265.732163,0.870257
1269.228578,0.869128
1272.720577,0.868133
1276.208161,0.866773
1279.691329,0.866149
1283.170082,0.865643
1286.644418,0.865035
1290.114340,0.864437
1294.734032,0.864006
1298.193650,0.864160
1301.648852,0.864164
1305.099639,0.864311
1308.546010,0.864944
1311.987965,0.867044
1315.425504,0.868169
1318.858628,0.871058
1322.287336,0.873546
1325.711628,0.877544
1329.131505,0.882168
1333.684472,0.889784
1337.094045,0.896232
1340.499203,0.903431
1343.899945,0.910683
1347.296272,0.919662
1350.688183,0.928966
1354.075678,0.938524
1357.458757,0.947776
1360.837421,0.955749
1364.211669,0.962144
1367.581501,0.969023
1372.067742,0.975802
1375.427272,0.981343
1378.782385,0.987667
1382.133083,0.993858
1385.479365,1.005292
1388.821231,1.016444
1392.158682,1.030932
1395.491717,1.047930
1398.820337,1.068484
1402.144540,1.092761
1406.569943,1.128787
1409.883843,1.157304
1413.193328,1.188401
1416.498397,1.221828
1419.799051,1.249549
1423.095289,1.279270
1426.387111,1.302109
1429.674517,1.319326
1432.957508,1.339262
1436.236083,1.355728
1439.510242,1.367199
1443.868919,1.377400
1447.132775,1.384710
1450.392216,1.388853
1453.647240,1.394187
1456.897849,1.396706
1460.144043,1.399521
1463.385821,1.403833
1466.623183,1.405345
1469.856129,1.404911
1473.084660,1.409821
1477.382498,1.409428
1480.600726,1.406854
1483.814538,1.410409
1487.023934,1.406167
1490.228914,1.402759
1493.429479,1.401247
1496.625628,1.399347
1499.817361,1.399831
1503.004679,1.397810
1506.187581,1.391033
1509.366067,1.388504
1513.597180,1.386648
1516.765363,1.382862
1519.929131,1.378957
1523.088482,1.376412
1526.243418,1.377258
1529.393939,1.370815
1532.540044,1.372159
1535.681733,1.373481
1538.819006,1.369283
1541.951864,1.367771
1546.122138,1.370697
1549.244693,1.366870
1552.362831,1.369588
1555.476554,1.366986
1558.585862,1.368157
1561.690753,1.364880
1564.791230,1.364924
1567.887290,1.366250
1570.978935,1.363755
1574.066163,1.363528
1577.148977,1.363507
1581.252526,1.359167
1584.325036,1.352323
1587.393130,1.343730
1590.456809,1.344286
1593.516072,1.342780
1596.570919,1.339636
1599.621351,1.331958
1602.667367,1.332065
1605.708967,1.320923
1608.746152,1.320554
1612.788862,1.311453
1615.815744,1.305051
1618.838209,1.298664
1621.856260,1.294332
1624.869894,1.292120
1627.879113,1.283977
1630.883915,1.281046
1633.884303,1.273608
1636.880274,1.267444
1639.871830,1.263451
1642.858971,1.256557
1646.834956,1.251886
1649.811793,1.242172
1652.784214,1.237199
1655.752220,1.229949
1658.715810,1.216028
1661.674984,1.201047
1664.629742,1.175186
1667.580085,1.149229
1670.526013,1.110622
1673.467524,1.072225
1677.382671,1.025084
1680.313879,0.997809
1683.240672,0.975165
1686.163049,0.969383
1689.081010,0.968990
1691.994556,0.961830
1694.903686,0.981829
1697.808400,0.969524
1700.708699,1.004527
