Wavelength (nm),Sample Signal (unitless)
901.663021,23487.000000
905.592173,25618.000000
909.516909,27535.000000
913.437229,29969.000000
917.353134,32597.000000
921.264622,36104.000000
925.171696,39811.000000
929.074353,44098.000000
932.972595,48397.000000
938.163382,53941.000000
942.051321,57856.000000
945.934844,61772.000000
949.813951,65443.000000
953.688643,69216.000000
957.558919,72536.000000
961.424779,75639.000000
965.286223,77832.000000
969.143252,79954.000000
972.995866,81446.000000
978.125814,82917.000000
981.968124,83953.000000
985.806019,84651.000000
989.639497,85221.000000
993.468560,85049.000000
997.293207,84542.000000
1001.113439,84399.000000
1004.929255,84161.000000
1008.740655,83833.000000
1012.547640,83790.000000
1016.350208,83875.000000
1021.413431,84108.000000
1025.205697,84167.000000
1028.993547,84425.000000
1032.776981,84736.000000
1036.556000,85339.000000
1040.330603,86071.000000
1044.100790,86863.000000
1047.866561,87594.000000
1051.627917,88244.000000
1055.384857,88786.000000
1060.387242,89612.000000
1064.133879,90218.000000
1067.876100,90931.000000
1071.613906,91600.000000
1075.347296,92157.000000
1079.076270,92698.000000
1082.800829,93411.000000
1086.520972,93637.000000
1090.236699,94032.000000
1093.948010,94694.000000
1097.654906,95161.000000
1102.590565,95755.000000
1106.287158,96145.000000
1109.979334,96371.000000
1113.667096,96508.000000
1117.350441,96839.000000
1121.029371,96913.000000
1124.703885,97044.000000
1128.373984,97119.000000
1132.039667,96813.000000
1135.700934,96553.000000
1140.575755,95962.000000
1144.226718,95359.000000
1147.873267,94485.000000
1151.515399,94082.000000
1155.153116,93205.000000
1158.786417,92467.000000
1162.415303,92097.000000
1166.039773,91667.000000
1169.659827,91471.000000
1173.275465,91249.000000
1176.886688,91014.000000
1181.694783,90939.000000
1185.295703,91240.000000
1188.892206,91454.000000
1192.484295,92086.000000
1196.071967,93109.000000
1199.655224,93861.000000
1203.234065,94700.000000
1206.808491,95773.000000
1210.378500,97157.000000
1213.944094,98595.000000
1218.691351,101003.000000
1222.246642,102928.000000
1225.797517,105100.000000
1229.343977,106891.000000
1232.886021,108970.000000
1236.423649,110794.000000
1239.956861,112476.000000
1243.485658,113756.000000
1247.010039,115125.000000
1250.530005,116679.000000
1254.045554,117756.000000
1258.726085,119344.000000
1262.231332,120565.000000
1265.732163,121958.000000
1269.228578,123026.000000
1272.720577,124379.000000
1276.208161,125452.000000
1279.691329,126557.000000
1283.170082,127703.000000
1286.644418,128920.000000
1290.114340,129736.000000
1294.734032,130713.000000
1298.193650,131454.000000
1301.648852,131746.000000
1305.099639,132139.000000
1308.546010,131977.000000
1311.987965,131787.000000
1315.425504,131545.000000
1318.858628,130496.000000
1322.287336,129478.000000
1325.711628,128393.000000
1329.131505,127010.000000
1333.684472,124637.000000
1337.094045,122387.000000
1340.499203,120347.000000
1343.899945,117788.000000
1347.296272,115250.000000
1350.688183,112399.000000
1354.075678,109587.000000
1357.458757,107026.000000
1360.837421,104698.000000
1364.211669,102880.000000
1367.581501,101044.000000
1372.067742,98965.000000
1375.427272,96998.000000
1378.782385,94512.000000
1382.133083,91943.000000
1385.479365,88869.000000
1388.821231,85634.000000
1392.158682,82482.000000
1395.491717,78889.000000
1398.820337,75142.000000
1402.144540,71115.000000
1406.569943,65248.000000
1409.883843,60911.000000
1413.193328,56176.000000
1416.498397,52280.000000
1419.799051,48868.000000
1423.095289,45541.000000
1426.387111,43172.000000
1429.674517,40865.000000
1432.957508,39137.000000
1436.236083,38038.000000
1439.510242,37109.000000
1443.868919,36009.000000
1447.132775,35603.000000
1450.392216,35238.000000
1453.647240,34764.000000
1456.897849,34449.000000
1460.144043,34351.000000
1463.385821,34138.000000
1466.623183,34029.000000
1469.856129,33763.000000
1473.084660,33569.000000
1477.382498,33460.000000
1480.600726,33500.000000
1483.814538,33601.000000
1487.023934,33458.000000
1490.228914,33655.000000
1493.429479,33731.000000
1496.625628,33640.000000
1499.817361,33869.000000
1503.004679,33986.000000
1506.187581,34120.000000
1509.366067,34051.000000
1513.597180,34151.000000
1516.765363,34003.000000
1519.929131,34187.000000
1523.088482,34015.000000
1526.243418,33817.000000
1529.393939,33734.000000
1532.540044,33467.000000
1535.681733,33346.000000
1538.819006,32942.000000
1541.951864,32757.000000
1546.122138,32086.000000
1549.244693,31954.000000
1552.362831,31411.000000
1555.476554,30684.000000
1558.585862,30336.000000
1561.690753,29841.000000
1564.791230,29350.000000
1567.887290,28667.000000
1570.978935,28565.000000
1574.066163,28193.000000
1577.148977,27917.000000
1581.252526,27411.000000
1584.325036,27138.000000
1587.393130,26863.000000
1590.456809,26498.000000
1593.516072,26221.000000
1596.570919,26177.000000
1599.621351,25906.000000
1602.667367,25702.000000
1605.708967,25462.000000
1608.746152,25054.000000
1612.788862,24633.000000
1615.815744,24586.000000
1618.838209,24046.000000
1621.856260,23860.000000
1624.869894,23664.000000
1627.879113,23067.000000
1630.883915,22938.000000
1633.884303,22482.000000
1636.880274,21999.000000
1639.871830,21780.000000
1642.858971,21320.000000
1646.834956,20662.000000
1649.811793,20471.000000
1652.784214,19945.000000
1655.752220,19383.000000
1658.715810,18922.000000
1661.674984,18493.000000
1664.629742,18028.000000
1667.580085,17305.000000
1670.526013,16522.000000
1673.467524,15553.000000
1677.382671,14162.000000
1680.313879,12773.000000
1683.240672,11456.000000
1686.163049,9889.000000
1689.081010,8451.000000
1691.994556,7404.000000
1694.903686,6184.000000
1697.808400,5231.000000
1700.708699,4485.000000
