Wavelength (nm),Absorbance (AU)
901.663021,1.033406
905.592173,1.035395
909.516909,1.036690
913.437229,1.032142
917.353134,1.041858
921.264622,1.039945
925.171696,1.038049
929.074353,1.039940
932.972595,1.040056
938.163382,1.038550
942.051321,1.037969
945.934844,1.037478
949.813951,1.037945
953.688643,1.037099
957.558919,1.040100
961.424779,1.040732
965.286223,1.042396
969.143252,1.048004
972.995866,1.054818
978.125814,1.059735
981.968124,1.062084
985.806019,1.068456
989.639497,1.069901
993.468560,1.071217
997.293207,1.072531
1001.113439,1.074751
1004.929255,1.070005
1008.740655,1.069134
1012.547640,1.067328
1016.350208,1.064864
1021.413431,1.059871
1025.205697,1.060065
1028.993547,1.056554
1032.776981,1.052283
1036.556000,1.052177
1040.330603,1.048311
1044.100790,1.047048
1047.866561,1.047073
1051.627917,1.044030
1055.384857,1.043939
1060.387242,1.039720
1064.133879,1.040311
1067.876100,1.038436
1071.613906,1.038226
1075.347296,1.036853
1079.076270,1.032643
1082.800829,1.034625
1086.520972,1.033791
1090.236699,1.032046
1093.948010,1.031452
1097.654906,1.032628
1102.590565,1.030783
1106.287158,1.030584
1109.979334,1.030685
1113.667096,1.031049
1117.350441,1.030757
1121.029371,1.033541
1124.703885,1.034777
1128.373984,1.037996
1132.039667,1.041256
1135.700934,1.045166
1140.575755,1.054659
1144.226718,1.062241
1147.873267,1.070412
1151.515399,1.080793
1155.153116,1.093469
1158.786417,1.105976
1162.415303,1.116130
1166.039773,1.124103
1169.659827,1.130636
1173.275465,1.140570
1176.886688,1.149021
1181.694783,1.156464
1185.295703,1.164051
1188.892206,1.171727
1192.484295,1.174485
1196.071967,1.179060
1199.655224,1.184054
1203.234065,1.183274
1206.808491,1.185187
1210.378500,1.184392
1213.944094,1.186626
1218.691351,1.183738
1222.246642,1.179381
1225.797517,1.175974
1229.343977,1.171534
1232.886021,1.169098
1236.423649,1.166573
1239.956861,1.164470
1243.485658,1.164554
1247.010039,1.165006
1250.530005,1.160574
1254.045554,1.160443
1258.726085,1.159227
1262.231332,1.158186
1265.732163,1.158044
1269.228578,1.155860
1272.720577,1.154538
1276.208161,1.153415
1279.691329,1.152641
1283.170082,1.150911
1286.644418,1.148800
1290.114340,1.148202
1294.734032,1.147816
1298.193650,1.146552
1301.648852,1.146094
1305.099639,1.148059
1308.546010,1.148521
1311.987965,1.152808
1315.425504,1.157156
1318.858628,1.162303
1322.287336,1.167095
1325.711628,1.174382
1329.131505,1.182081
1333.684472,1.195881
1337.094045,1.206415
1340.499203,1.217239
1343.899945,1.232448
1347.296272,1.246492
1350.688183,1.262937
1354.075678,1.277166
1357.458757,1.289948
1360.837421,1.303479
1364.211669,1.314473
1367.581501,1.325399
1372.067742,1.337211
1375.427272,1.345255
1378.782385,1.358087
1382.133083,1.369485
1385.479365,1.388503
1388.821231,1.410522
1392.158682,1.435321
1395.491717,1.466414
1398.820337,1.496756
1402.144540,1.535659
1406.569943,1.582175
1409.883843,1.621289
1413.193328,1.654694
1416.498397,1.688009
1419.799051,1.714215
1423.095289,1.736368
1426.387111,1.745309
1429.674517,1.758171
1432.957508,1.765262
1436.236083,1.780734
1439.510242,1.782754
1443.868919,1.790617
1447.132775,1.797045
1450.392216,1.791274
1453.647240,1.796599
1456.897849,1.795045
1460.144043,1.798840
1463.385821,1.803236
1466.623183,1.805104
1469.856129,1.800315
1473.084660,1.802707
1477.382498,1.797818
1480.600726,1.802466
1483.814538,1.797661
1487.023934,1.796607
1490.228914,1.800644
1493.429479,1.792732
1496.625628,1.790469
1499.817361,1.792038
1503.004679,1.789354
1506.187581,1.792495
1509.366067,1.791013
1513.597180,1.787044
1516.765363,1.789986
1519.929131,1.785657
1523.088482,1.786409
1526.243418,1.785655
1529.393939,1.784670
1532.540044,1.782620
1535.681733,1.779153
1538.819006,1.784804
1541.951864,1.781397
1546.122138,1.778346
1549.244693,1.777372
1552.362831,1.778759
1555.476554,1.776769
1558.585862,1.787128
1561.690753,1.786200
1564.791230,1.782796
1567.887290,1.776689
1570.978935,1.777047
1574.066163,1.783530
1577.148977,1.783584
1581.252526,1.783322
1584.325036,1.778674
1587.393130,1.775937
1590.456809,1.769136
1593.516072,1.778217
1596.570919,1.774395
1599.621351,1.769470
1602.667367,1.770184
1605.708967,1.767162
1608.746152,1.768485
1612.788862,1.767363
1615.815744,1.764605
1618.838209,1.759786
1621.856260,1.759998
1624.869894,1.756360
1627.879113,1.737904
1630.883915,1.754930
1633.884303,1.757855
1636.880274,1.756605
1639.871830,1.754010
1642.858971,1.738793
1646.834956,1.741517
1649.811793,1.729503
1652.784214,1.722184
1655.752220,1.727944
1658.715810,1.704084
1661.674984,1.683911
1664.629742,1.667553
1667.580085,1.654182
1670.526013,1.625048
1673.467524,1.593566
1677.382671,1.557908
1680.313879,1.532480
1683.240672,1.527597
1686.163049,1.501295
1689.081010,1.563030
1691.994556,1.560662
1694.903686,1.544851
1697.808400,1.552478
1700.708699,1.655853
