Wavelength (nm),Sample Signal (unitless)
901.663021,10064.000000
905.592173,10969.000000
909.516909,12059.000000
913.437229,13012.000000
917.353134,14291.000000
921.264622,15752.000000
925.171696,17513.000000
929.074353,19410.000000
932.972595,21162.000000
938.163382,23875.000000
942.051321,25789.000000
945.934844,27657.000000
949.813951,29486.000000
953.688643,31242.000000
957.558919,32736.000000
961.424779,34170.000000
965.286223,35478.000000
969.143252,36180.000000
972.995866,36895.000000
978.125814,37559.000000
981.968124,38078.000000
985.806019,38354.000000
989.639497,38520.000000
993.468560,38495.000000
997.293207,38434.000000
1001.113439,38429.000000
1004.929255,38226.000000
1008.740655,38362.000000
1012.547640,38487.000000
1016.350208,38349.000000
1021.413431,38556.000000
1025.205697,38836.000000
1028.993547,39066.000000
1032.776981,39331.000000
1036.556000,39792.000000
1040.330603,40188.000000
1044.100790,40408.000000
1047.866561,40817.000000
1051.627917,41273.000000
1055.384857,41448.000000
1060.387242,41916.000000
1064.133879,42286.000000
1067.876100,42492.000000
1071.613906,42694.000000
1075.347296,43021.000000
1079.076270,43298.000000
1082.800829,43430.000000
1086.520972,43489.000000
1090.236699,43557.000000
1093.948010,43927.000000
1097.654906,44150.000000
1102.590565,44221.000000
1106.287158,44034.000000
1109.979334,44079.000000
1113.667096,44035.000000
1117.350441,44001.000000
1121.029371,43990.000000
1124.703885,43687.000000
1128.373984,43452.000000
1132.039667,43153.000000
1135.700934,42842.000000
1140.575755,42298.000000
1144.226718,41898.000000
1147.873267,41320.000000
1151.515399,40818.000000
1155.153116,40088.000000
1158.786417,39668.000000
1162.415303,38935.000000
1166.039773,38598.000000
1169.659827,38350.000000
1173.275465,37837.000000
1176.886688,37855.000000
1181.694783,37954.000000
1185.295703,38127.000000
1188.892206,38109.000000
1192.484295,38302.000000
1196.071967,38739.000000
1199.655224,38955.000000
1203.234065,39310.000000
1206.808491,39917.000000
1210.378500,40539.000000
1213.944094,40994.000000
1218.691351,42373.000000
1222.246642,43426.000000
1225.797517,44397.000000
1229.343977,45030.000000
1232.886021,46124.000000
1236.423649,46999.000000
1239.956861,47188.000000
1243.485658,48459.000000
1247.010039,49091.000000
1250.530005,49797.000000
1254.045554,50355.000000
1258.726085,51072.000000
1262.231332,51617.000000
1265.732163,52296.000000
1269.228578,52911.000000
1272.720577,53732.000000
1276.208161,54286.000000
1279.691329,54736.000000
1283.170082,55130.000000
1286.644418,55831.000000
1290.114340,56226.000000
1294.734032,56609.000000
1298.193650,57159.000000
1301.648852,56904.000000
1305.099639,56899.000000
1308.546010,56953.000000
1311.987965,56874.000000
1315.425504,56483.000000
1318.858628,55679.000000
1322.287336,55408.000000
1325.711628,54642.000000
1329.131505,53786.000000
1333.684472,52573.000000
1337.094045,51400.000000
1340.499203,50338.000000
1343.899945,49078.000000
1347.296272,47656.000000
1350.688183,46567.000000
1354.075678,45373.000000
1357.458757,44320.000000
1360.837421,43371.000000
1364.211669,42327.000000
1367.581501,41575.000000
1372.067742,40801.000000
1375.427272,39723.000000
1378.782385,38861.000000
1382.133083,37628.000000
1385.479365,36505.000000
1388.821231,35232.000000
1392.158682,33884.000000
1395.491717,32491.000000
1398.820337,31124.000000
1402.144540,29759.000000
1406.569943,28091.000000
1409.883843,26947.000000
1413.193328,26084.000000
1416.498397,25424.000000
1419.799051,24911.000000
1423.095289,24555.000000
1426.387111,24375.000000
1429.674517,24133.000000
1432.957508,24018.000000
1436.236083,23854.000000
1439.510242,23727.000000
1443.868919,23867.000000
1447.132775,23877.000000
1450.392216,23869.000000
1453.647240,23612.000000
1456.897849,23735.000000
1460.144043,23553.000000
1463.385821,23629.000000
1466.623183,23657.000000
1469.856129,23646.000000
1473.084660,23336.000000
1477.382498,23300.000000
1480.600726,23193.000000
1483.814538,23118.000000
1487.023934,23093.000000
1490.228914,23009.000000
1493.429479,22714.000000
1496.625628,22718.000000
1499.817361,22605.000000
1503.004679,22597.000000
1506.187581,22563.000000
1509.366067,22281.000000
1513.597180,21984.000000
1516.765363,21797.000000
1519.929131,21712.000000
1523.088482,21500.000000
1526.243418,21542.000000
1529.393939,21184.000000
1532.540044,21004.000000
1535.681733,20796.000000
1538.819006,20577.000000
1541.951864,20392.000000
1546.122138,20046.000000
1549.244693,19637.000000
1552.362831,19402.000000
1555.476554,19201.000000
1558.585862,18928.000000
1561.690753,18665.000000
1564.791230,18443.000000
1567.887290,18096.000000
1570.978935,17837.000000
1574.066163,17496.000000
1577.148977,17309.000000
1581.252526,16883.000000
1584.325036,16754.000000
1587.393130,16483.000000
1590.456809,16086.000000
1593.516072,15759.000000
1596.570919,15548.000000
1599.621351,15231.000000
1602.667367,15285.000000
1605.708967,14828.000000
1608.746152,14651.000000
1612.788862,14314.000000
1615.815744,14164.000000
1618.838209,13758.000000
1621.856260,13392.000000
1624.869894,13283.000000
1627.879113,12921.000000
1630.883915,12760.000000
1633.884303,12371.000000
1636.880274,12275.000000
1639.871830,12064.000000
1642.858971,11856.000000
1646.834956,11515.000000
1649.811793,11235.000000
1652.784214,11000.000000
1655.752220,10697.000000
1658.715810,10568.000000
1661.674984,10262.000000
1664.629742,9888.000000
1667.580085,9629.000000
1670.526013,9395.000000
1673.467524,8982.000000
1677.382671,8196.000000
1680.313879,7433.000000
1683.240672,6654.000000
1686.163049,5846.000000
1689.081010,5255.000000
1691.994556,4413.000000
1694.903686,3795.000000
1697.808400,3331.000000
1700.708699,2954.000000
