Wavelength (nm),Reflectance (AU)
901.663021,0.114588
905.592173,0.116112
909.516909,0.115799
913.437229,0.114960
917.353134,0.115242
921.264622,0.116278
925.171696,0.115483
929.074353,0.115672
932.972595,0.116647
938.163382,0.117407
942.051321,0.117537
945.934844,0.117985
949.813951,0.117631
953.688643,0.117631
957.558919,0.117550
961.424779,0.117541
965.286223,0.116501
969.143252,0.116395
972.995866,0.115494
978.125814,0.114631
981.968124,0.114344
985.806019,0.113869
989.639497,0.113515
993.468560,0.112857
997.293207,0.113126
1001.113439,0.113256
1004.929255,0.113515
1008.740655,0.113896
1012.547640,0.114428
1016.350208,0.115002
1021.413431,0.115435
1025.205697,0.116136
1028.993547,0.116376
1032.776981,0.116882
1036.556000,0.117882
1040.330603,0.117982
1044.100790,0.117715
1047.866561,0.117879
1051.627917,0.118518
1055.384857,0.118860
1060.387242,0.118354
1064.133879,0.118791
1067.876100,0.118701
1071.613906,0.119035
1075.347296,0.119124
1079.076270,0.119095
1082.800829,0.118905
1086.520972,0.118342
1090.236699,0.118602
1093.948010,0.118432
1097.654906,0.118725
1102.590565,0.118604
1106.287158,0.118360
1109.979334,0.118085
1113.667096,0.117660
1117.350441,0.117369
1121.029371,0.117357
1124.703885,0.117049
1128.373984,0.116351
1132.039667,0.115460
1135.700934,0.114862
1140.575755,0.113288
1144.226718,0.112087
1147.873267,0.110142
1151.515399,0.108407
1155.153116,0.106985
1158.786417,0.104777
1162.415303,0.103159
1166.039773,0.101649
1169.659827,0.100339
1173.275465,0.099381
1176.886688,0.097711
1181.694783,0.096508
1185.295703,0.095261
1188.892206,0.094015
1192.484295,0.093364
1196.071967,0.093068
1199.655224,0.092399
1203.234065,0.091999
1206.808491,0.091938
1210.378500,0.091511
1213.944094,0.091577
1218.691351,0.092126
1222.246642,0.092488
1225.797517,0.093296
1229.343977,0.093412
1232.886021,0.094268
1236.423649,0.094568
1239.956861,0.094948
1243.485658,0.095040
1247.010039,0.095562
1250.530005,0.095576
1254.045554,0.095763
1258.726085,0.096201
1262.231332,0.096393
1265.732163,0.096232
1269.228578,0.096464
1272.720577,0.096593
1276.208161,0.096868
1279.691329,0.097116
1283.170082,0.097225
1286.644418,0.097250
1290.114340,0.097601
1294.734032,0.097480
1298.193650,0.097525
1301.648852,0.097955
1305.099639,0.097734
1308.546010,0.097459
1311.987965,0.096918
1315.425504,0.096399
1318.858628,0.095778
1322.287336,0.094939
1325.711628,0.094155
1329.131505,0.092856
1333.684472,0.091240
1337.094045,0.090034
1340.499203,0.088175
1343.899945,0.086754
1347.296272,0.084959
1350.688183,0.083172
1354.075678,0.081160
1357.458757,0.079630
1360.837421,0.077878
1364.211669,0.076776
1367.581501,0.075788
1372.067742,0.074718
1375.427272,0.073291
1378.782385,0.072301
1382.133083,0.070970
1385.479365,0.069219
1388.821231,0.066769
1392.158682,0.064193
1395.491717,0.061284
1398.820337,0.058015
1402.144540,0.054565
1406.569943,0.050405
1409.883843,0.047240
1413.193328,0.044482
1416.498397,0.041956
1419.799051,0.039824
1423.095289,0.038066
1426.387111,0.037012
1429.674517,0.036009
1432.957508,0.035276
1436.236083,0.034898
1439.510242,0.034323
1443.868919,0.034296
1447.132775,0.033981
1450.392216,0.034125
1453.647240,0.033925
1456.897849,0.034121
1460.144043,0.034066
1463.385821,0.033739
1466.623183,0.033533
1469.856129,0.033592
1473.084660,0.033546
1477.382498,0.033219
1480.600726,0.033236
1483.814538,0.033378
1487.023934,0.033285
1490.228914,0.033579
1493.429479,0.034015
1496.625628,0.033683
1499.817361,0.034148
1503.004679,0.034271
1506.187581,0.034170
1509.366067,0.034005
1513.597180,0.034257
1516.765363,0.034039
1519.929131,0.034202
1523.088482,0.034205
1526.243418,0.034209
1529.393939,0.034284
1532.540044,0.034417
1535.681733,0.034436
1538.819006,0.034662
1541.951864,0.034899
1546.122138,0.034826
1549.244693,0.035000
1552.362831,0.035098
1555.476554,0.035169
1558.585862,0.034833
1561.690753,0.034880
1564.791230,0.034515
1567.887290,0.034486
1570.978935,0.034664
1574.066163,0.034705
1577.148977,0.034912
1581.252526,0.034896
1584.325036,0.035182
1587.393130,0.035263
1590.456809,0.035452
1593.516072,0.035979
1596.570919,0.036306
1599.621351,0.036971
1602.667367,0.037204
1605.708967,0.036956
1608.746152,0.037518
1612.788862,0.037628
1615.815744,0.037682
1618.838209,0.038145
1621.856260,0.038138
1624.869894,0.038732
1627.879113,0.039207
1630.883915,0.039328
1633.884303,0.040088
1636.880274,0.040268
1639.871830,0.040859
1642.858971,0.041269
1646.834956,0.042506
1649.811793,0.042578
1652.784214,0.043190
1655.752220,0.044337
1658.715810,0.044812
1661.674984,0.045848
1664.629742,0.047054
1667.580085,0.049403
1670.526013,0.051805
1673.467524,0.053154
1677.382671,0.054709
1680.313879,0.056546
1683.240672,0.055257
1686.163049,0.057646
1689.081010,0.057360
1691.994556,0.053743
1694.903686,0.055320
1697.808400,0.054675
1700.708699,0.055677
